,text,cpc,vol,v,competition,score
0,email marketing,1.74,27100,27100,low,0.435
1,emailing marketing,1.74,27100,27100,low,0.435
2,marketing emails,1.44,22200,22200,low,0.36
3,email templates,0.91,9900,9900,low,0.2275
4,what is email advertising,0.49,6600,6600,low,0.1225
5,what is email marketing,0.49,6600,6600,low,0.1225
6,email marketing tools,2.43,5400,5400,low,0.6075
7,images of email,0.00,3600,3600,low,0.0
8,email images,0.00,3600,3600,low,0.0
9,image for email,0.00,3600,3600,low,0.0
10,e mail marketing meaning,0.22,1900,1900,low,0.055
11,email marketing examples,1.02,1900,1900,low,0.255
12,email advertising examples,1.02,1900,1900,low,0.255
13,email marketing example,1.00,1900,1900,low,0.25
14,email marketing sample,1.02,1900,1900,low,0.255
15,examples of email marketing,1.02,1900,1900,low,0.255
16,marketing email examples,1.02,1900,1900,low,0.255
17,email marketing meaning,0.22,1900,1900,low,0.055
18,marketing email sample,1.02,1900,1900,low,0.255
19,marketing email templates,1.05,1900,1900,low,0.2625
20,email templates for marketing,1.05,1900,1900,low,0.2625
21,email promotion template,1.05,1900,1900,low,0.2625
22,email marketing template,1.64,1900,1900,low,0.41
23,marketing email template,1.05,1900,1900,low,0.2625
24,email marketing templates,1.05,1900,1900,low,0.2625
25,email campaign,2.69,1600,1600,low,0.6725
26,email campaigns,2.69,1600,1600,low,0.6725
27,jobs for email marketing,0.07,1600,1600,low,0.0175
28,marketing email jobs,0.07,1600,1600,low,0.0175
29,email advertising jobs,0.07,1600,1600,low,0.0175
30,email marketing careers,0.07,1600,1600,low,0.0175
31,careers in email marketing,0.07,1600,1600,low,0.0175
32,email marketing tools free,1.66,1600,1600,low,0.415
33,free email marketing tools,1.66,1600,1600,low,0.415
34,free mailer,2.37,1600,1600,low,0.5925
35,email marketing positions,0.07,1600,1600,low,0.0175
36,jobs in email marketing,0.07,1600,1600,low,0.0175
37,email marketing job,0.07,1600,1600,low,0.0175
38,emailing campaign,2.69,1600,1600,low,0.6725
39,email marketing jobs,0.07,1600,1600,low,0.0175
40,email marketing platform,2.02,1300,1300,low,0.505
41,email marketing platforms,2.02,1300,1300,low,0.505
42,email marketing software,2.36,1300,1300,low,0.59
43,e mail marketing course,1.25,1000,1000,low,0.3125
44,email marketing definition,0.25,1000,1000,low,0.0625
45,free email marketing tool,2.76,1000,1000,low,0.69
46,courses on email marketing,1.25,1000,1000,low,0.3125
47,email-marketing course,1.25,1000,1000,low,0.3125
48,email marketing free tools,2.76,1000,1000,low,0.69
49,email marketing class,1.25,1000,1000,low,0.3125
